APONT.;DATA;CÓDIGO;DESCRIÇÃO;MATERIAL;QUANTIDADE;PESO (UN);PESO TOTAL;CAUSA;SETOR RESPONSÁVEL
0;05/09/2025;"252015100";"RODA DENTADA COM ENGRENAGEM";"GGG-40";10;4,05;40,5;"PEÇA DANIFICADA NA REBARBAÇÃO";"ACABAMENTO"
0;05/09/2025;"1967005100";"SAIA MATA JUNTA POS. 91B";"FE-13-C";4;2,3;9,2;"FUNDIDO SEM MACHO";"MOLDAGEM"
0;05/09/2025;"7024900";"PLACA DE REVESTIMENTO 22901";"A128";3;10,72;32,160000000000004;"CAIXA VAZADA";"FUNDIÇÃO"
0;05/09/2025;"7024300";"PLACA DE REVESTIMENTO 22893";"A128";1;10,4;10,4;"FUNDIDO SEM MACHO";"MOLDAGEM"
0;05/09/2025;"7024300";"PLACA DE REVESTIMENTO 22893";"A128";1;10,4;10,4;"SOLDA FRIA";"FUNDIÇÃO"
0;05/09/2025;"223401200";"MARTELO 580MM";"A128 GRAU A";1;38;38;"QUEBRA DE PEÇA";"OUTRO"
0;04/09/2025;"252014300";"TAMPA DO MANCAL AF";"GGG-50";1;3;3;"DESLOCAMENTO";"MOLDAGEM"
0;03/09/2025;"282012900";"SUPORTE 70F2228";"GGG-40";1;8;8;"CAIXA VAZADA";"FUNDIÇÃO"
0;02/09/2025;"225300700";"LABIRINTO MOVEL";"ASTM A36";1;14,5;14,5;"BOLHA DE GÁS";"FUNDIÇÃO"
0;02/09/2025;"223300100";"CORPO DE GIRO GRT";"BS 30";1;125;125;"DESLOCAMENTO";"MOLDAGEM"
0;30/08/2025;"7024400";"PLACA DE REVESTIMENTO 22903";"A128";1;10;10;"CAIXA VAZADA";"FUNDIÇÃO"
0;29/08/2025;"7129200";"REVESTIMENTO LAT SUP DIR";"A128";1;18,5;18,5;"CAIXA VAZADA";"FUNDIÇÃO"
0;29/08/2025;"7024600";"PLACA DE REVESTIMENTO 22899";"A128";1;7,3;7,3;"BOLHA DE GÁS";"FUNDIÇÃO"
0;29/08/2025;"7109000";"DISCO 23060 IGPM C-120B";"A128";1;11,3;11,3;"QUEBRA DE MACHO";"MOLDAGEM"
0;29/08/2025;"7024300";"PLACA DE REVESTIMENTO 22893";"A128";2;10,4;20,8;"CAIXA ARRISCADA";"FUNDIÇÃO"
0;29/08/2025;"7129200";"REVESTIMENTO LAT SUP DIR";"A128";1;14,4;14,4;"CAIXA ARRISCADA";"FUNDIÇÃO"
0;29/08/2025;"225800100";"MARTELO CALMAQ 6617";"A128";1;16,5;16,5;"CAIXA ARRISCADA";"FUNDIÇÃO"
0;27/08/2025;"296000100";"AVIAOZINHO(NAVE)";"GR 65-35";1;3,75;3,75;"RECHUPE";"FUNDIÇÃO"
0;26/08/2025;"7128100";"REVESTIMENTO LAT SUP ESQ";"A128";3;18,5;55,5;"PEÇA NÃO ENCONTRADA";"OUTRO"
0;26/08/2025;"125008500";"MP8426";"1045";20;3,6;72;"PEÇA NÃO ENCONTRADA";"OUTRO"
0;26/08/2025;"1952005400";"MANCAL RED";"1020";1;41;41;"PEÇA NÃO ENCONTRADA";"OUTRO"
0;26/08/2025;"7024800";"PLACA DE REVESTIMENTO";"A128";1;8,8;8,8;"BOLHA DE GÁS";"FUNDIÇÃO"
0;26/08/2025;"7026700";"PLACA DE REV. 22897";"A128";1;7,3;7,3;"BOLHA DE GÁS";"FUNDIÇÃO"
0;26/08/2025;"7116900";"BARRA DE GRELHA";"A128";2;15;30;"QUEBRA DE PEÇA";"OUTRO"
0;22/08/2025;"346000200";"DENTE CENTRAL";"FE-03-C";22;2,5;55;"DESLOCAMENTO";"MOLDAGEM"
0;22/08/2025;"346000200";"DENTE CENTRAL";"FE-03-C";7;2,5;17,5;"QUEBRA DE PEÇA";"OUTRO"
0;21/08/2025;"7026400";"REVESTIMENTO 22562";"A128";1;4,5;4,5;"ENGROSSAMENTO - FALTA PESO";"FUNDIÇÃO"
0;20/08/2025;"7129400";"REVESTIMENTO LAT SUP ESQ";"A128";1;20;20;"SOLDA FRIA";"FUNDIÇÃO"
0;20/08/2025;"7024800";"PLACA DE REVESTIMENTO";"A128";1;8,8;8,8;"CAIXA VAZADA";"FUNDIÇÃO"
0;20/08/2025;"337000100";"CORPO DE GIRO 12000";"1030";1;111;111;"FUNDIDO SEM MACHO";"MOLDAGEM"
0;20/08/2025;"337000100";"CORPO DE GIRO 12000";"1030";1;111;111;"BOLHA DE GÁS";"FUNDIÇÃO"
0;18/08/2025;"223400100";"CARCAÇA DE BOMBA 8 PRETA";"FE-20-C";1;181;181;"INCLUSÃO DE AREIA";"MOLDAGEM"
0;18/08/2025;"225301100";"LABIRINTO FIXO";"ASTM A36";1;12,1;12,1;"CAIXA VAZADA";"FUNDIÇÃO"
0;18/08/2025;"225300700";"LABIRINTO MOVEL";"ASTM A36";1;7,4;7,4;"CAIXA VAZADA";"FUNDIÇÃO"
0;15/08/2025;"1967000500";"ANEL DE CABEÇOTE";"FE-13-C";1;35;35;"BOLHA DE GÁS";"FUNDIÇÃO"
0;14/08/2025;"248001500";"CORPO DE GIRO AGI 9.5 MP";"1020";1;105,5;105,5;"CAIXA VAZADA";"FUNDIÇÃO"
0;14/08/2025;"273000100";"MANCAL ING-C";"1025";3;122;366;"DESLOCAMENTO";"MOLDAGEM"
0;14/08/2025;"273000400";"MANCAL ING-F";"1025";2;252;504;"DESLOCAMENTO";"MOLDAGEM"
0;06/08/2025;"224500100";"GRELHA ESPAÇADOR 5MM";"A128 GRAU A";3;13;39;"BOLHA DE GÁS";"FUNDIÇÃO"
0;06/08/2025;"224900100";"CUBO MENOR ICM02001";"GGG-40";2;7;14;"CAIXA VAZADA";"FUNDIÇÃO"
0;05/08/2025;"252017700";"ATIVADOR DA CATRACA";"GG-20";1;3,5;3,5;"QUEBRA DE PEÇA";"OUTRO"
0;05/08/2025;"224400200";"PA INCLINADA";"A532";1;10;10;"MACHO DESLOCADO";"MOLDAGEM"
0;05/08/2025;"224400100";"PA RETA";"A532";1;8;8;"QUEBRA DE PEÇA";"OUTRO"
0;05/08/2025;"296000100";"AVIAOZINHO(NAVE)";"GR 65-35";2;3,75;7,5;"BOLHA DE GÁS";"FUNDIÇÃO"
0;01/08/2025;"883037000";"PONT. ACION REF 260/UC215";"1045";1;33,3;33,3;"CAIXA ARRISCADA";"FUNDIÇÃO"
0;01/08/2025;"883037400";"PONT. ACION REF 240/UCF211";"1045";1;20,5;20,5;"DESLOCAMENTO";"MOLDAGEM"
0;01/08/2025;"123002800";"GARFO FLAGEADO";"1045";4;6;24;"CAIXA VAZADA";"FUNDIÇÃO"
0;01/08/2025;"1967005000";"SAIA MATA JUNTA POS. 91A";"FE-13-C";10;1,6;16;"CAIXA VAZADA";"FUNDIÇÃO"
0;01/08/2025;"1967005000";"SAIA MATA JUNTA POS. 91A";"FE-13-C";1;1,6;1,6;"QUEBRA DE PEÇA";"OUTRO"